# 2026-09-22T14:40:23+00:00 smc-log start; envelopes: PZ0E=1228.0  PZ1E=450.0  PZ3E=530.0  PZ4E=530.0  PZ5E=300.0  PZ7E=1562.0
14:40:24 PZ0G=318.2  PZ7G=397.8  PZ1G=32.9  PZ3G=105.5  PZ4G=100.6  PZ5G=17.3  PZ0T=0.0  PZ3T=0.0  PZ4T=0.0  PZ7T=0.0  PZ0F=308.6  PZ1F=41.9  PZ3F=102.2  PZ4F=97.5  PG0R=105.5  PG2R=100.6  TG0s=0.0  TG1s=0.0  TG3s=0.0  TG4s=0.0  TG0D=54.0  TG1D=49.0  TG3D=54.0  TG4D=50.0
14:40:29 PZ0G=298.5  PZ7G=351.3  PZ1G=32.4  PZ3G=105.3  PZ4G=100.5  PZ5G=17.2  PZ0T=0.0  PZ3T=0.0  PZ4T=0.0  PZ7T=0.0  PZ0F=302.6  PZ1F=36.5  PZ3F=104.2  PZ4F=99.4  PG0R=105.3  PG2R=100.5  TG0s=0.0  TG1s=0.0  TG3s=0.0  TG4s=0.0  TG0D=53.0  TG1D=49.0  TG3D=53.0  TG4D=48.0
14:40:34 PZ0G=357.8  PZ7G=464.5  PZ1G=76.9  PZ3G=100.4  PZ4G=95.6  PZ5G=17.2  PZ0T=0.0  PZ3T=0.0  PZ4T=0.0  PZ7T=0.0  PZ0F=332.9  PZ1F=58.9  PZ3F=102.9  PZ4F=98.1  PG0R=100.4  PG2R=95.6  TG0s=0.0  TG1s=0.0  TG3s=0.0  TG4s=0.0  TG0D=52.0  TG1D=48.0  TG3D=52.0  TG4D=49.0
14:40:39 PZ0G=324.2  PZ7G=359.4  PZ1G=73.6  PZ3G=88.1  PZ4G=84.0  PZ5G=17.2  PZ0T=0.0  PZ3T=0.0  PZ4T=0.0  PZ7T=0.0  PZ0F=336.7  PZ1F=69.5  PZ3F=96.9  PZ4F=92.3  PG0R=88.1  PG2R=84.0  TG0s=0.0  TG1s=0.0  TG3s=0.0  TG4s=0.0  TG0D=51.0  TG1D=47.0  TG3D=51.0  TG4D=48.0
14:40:44 PZ0G=770.3  PZ7G=1078.1  PZ1G=85.7  PZ3G=308.3  PZ4G=307.4  PZ5G=17.6  PZ0T=0.0  PZ3T=0.0  PZ4T=0.0  PZ7T=0.0  PZ0F=532.7  PZ1F=81.0  PZ3F=190.2  PZ4F=187.4  PG0R=308.3  PG2R=307.4  TG0s=0.0  TG1s=0.0  TG3s=0.0  TG4s=0.0  TG0D=61.0  TG1D=52.0  TG3D=61.0  TG4D=52.0
14:40:49 PZ0G=756.8  PZ7G=1076.3  PZ1G=71.5  PZ3G=308.5  PZ4G=307.2  PZ5G=17.5  PZ0T=0.0  PZ3T=0.0  PZ4T=0.0  PZ7T=0.0  PZ0F=675.6  PZ1F=76.8  PZ3F=264.6  PZ4F=262.9  PG0R=308.5  PG2R=307.2  TG0s=0.0  TG1s=0.0  TG3s=0.0  TG4s=0.0  TG0D=61.0  TG1D=51.0  TG3D=62.0  TG4D=53.0
14:40:54 PZ0G=738.2  PZ7G=1090.5  PZ1G=71.7  PZ3G=298.8  PZ4G=297.6  PZ5G=17.5  PZ0T=0.0  PZ3T=0.0  PZ4T=0.0  PZ7T=0.0  PZ0F=722.7  PZ1F=74.2  PZ3F=289.7  PZ4F=288.4  PG0R=298.8  PG2R=297.6  TG0s=0.0  TG1s=0.0  TG3s=0.0  TG4s=0.0  TG0D=60.0  TG1D=52.0  TG3D=61.0  TG4D=52.0
14:40:59 PZ0G=732.5  PZ7G=1112.8  PZ1G=72.5  PZ3G=295.6  PZ4G=294.0  PZ5G=17.5  PZ0T=0.0  PZ3T=0.0  PZ4T=0.0  PZ7T=0.0  PZ0F=738.9  PZ1F=73.1  PZ3F=298.6  PZ4F=297.1  PG0R=295.6  PG2R=294.0  TG0s=0.0  TG1s=0.0  TG3s=0.0  TG4s=0.0  TG0D=61.0  TG1D=52.0  TG3D=61.0  TG4D=53.0
14:41:04 PZ0G=732.3  PZ7G=1126.6  PZ1G=72.8  PZ3G=295.6  PZ4G=293.5  PZ5G=17.5  PZ0T=0.0  PZ3T=0.0  PZ4T=0.0  PZ7T=0.0  PZ0F=744.5  PZ1F=73.0  PZ3F=301.6  PZ4F=300.0  PG0R=295.6  PG2R=293.5  TG0s=0.0  TG1s=0.0  TG3s=0.0  TG4s=0.0  TG0D=61.0  TG1D=51.0  TG3D=62.0  TG4D=51.0
14:41:09 PZ0G=769.8  PZ7G=1135.1  PZ1G=89.2  PZ3G=306.5  PZ4G=305.1  PZ5G=17.5  PZ0T=0.0  PZ3T=0.0  PZ4T=0.0  PZ7T=0.0  PZ0F=757.2  PZ1F=81.0  PZ3F=304.1  PZ4F=302.7  PG0R=306.5  PG2R=305.1  TG0s=0.0  TG1s=0.0  TG3s=0.0  TG4s=0.0  TG0D=61.0  TG1D=51.0  TG3D=62.0  TG4D=53.0
14:41:14 PZ0G=765.2  PZ7G=1131.5  PZ1G=84.2  PZ3G=306.7  PZ4G=305.6  PZ5G=17.5  PZ0T=0.0  PZ3T=0.0  PZ4T=0.0  PZ7T=0.0  PZ0F=763.7  PZ1F=83.5  PZ3F=306.3  PZ4F=305.0  PG0R=306.7  PG2R=305.6  TG0s=0.0  TG1s=0.0  TG3s=0.0  TG4s=0.0  TG0D=61.0  TG1D=52.0  TG3D=61.0  TG4D=53.0
