2026-09-23T11:24:06+00:00 watchdog v2 start pid 3883092 guarding pid 3883074 (sclk guard 1; DC envelope guard: >= 1228 W once or >= 1200 W twice, from /root/night-20260919/fnload-smc.log)
2026-09-23T11:24:06+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0
2026-09-23T11:24:11+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:311W
2026-09-23T11:24:16+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:314W
2026-09-23T11:24:21+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:350W
2026-09-23T11:24:26+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:351W
2026-09-23T11:24:31+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:350W
2026-09-23T11:24:36+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:350W
2026-09-23T11:24:41+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:349W
2026-09-23T11:24:46+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:348W
2026-09-23T11:24:51+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:350W
2026-09-23T11:24:56+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:351W
2026-09-23T11:25:01+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:350W
2026-09-23T11:25:06+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:349W
2026-09-23T11:25:11+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:356W
2026-09-23T11:25:17+00:00 card0:1730MHz/17%/0 card1:1730MHz/4%/0 card2:1000MHz/12%/0 card3:1730MHz/0%/0 DC:347W
2026-09-23T11:25:22+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:350W
2026-09-23T11:25:27+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:329W
2026-09-23T11:25:32+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:329W
2026-09-23T11:25:37+00:00 card0:1000MHz/0%/0 card1:1000MHz/1%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:335W
2026-09-23T11:25:42+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:330W
2026-09-23T11:25:47+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:329W
2026-09-23T11:25:52+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:328W
2026-09-23T11:25:57+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:333W
2026-09-23T11:26:02+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1730MHz/17%/0 card3:1000MHz/0%/0 DC:327W
2026-09-23T11:26:07+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/5%/0 card3:1000MHz/0%/0 DC:339W
2026-09-23T11:26:12+00:00 card0:1730MHz/100%/0 card1:1674MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:320W
2026-09-23T11:26:17+00:00 card0:1730MHz/5%/0 card1:1730MHz/4%/0 card2:1730MHz/4%/0 card3:1730MHz/4%/0 DC:697W
2026-09-23T11:26:22+00:00 card0:1730MHz/3%/0 card1:1730MHz/4%/0 card2:1730MHz/4%/0 card3:1730MHz/4%/0 DC:354W
2026-09-23T11:26:27+00:00 card0:1730MHz/5%/0 card1:1730MHz/5%/0 card2:1730MHz/4%/0 card3:1730MHz/4%/0 DC:359W
2026-09-23T11:26:32+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:355W
2026-09-23T11:26:37+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:327W
2026-09-23T11:26:42+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:312W
2026-09-23T11:26:47+00:00 card0:1730MHz/11%/0 card1:1730MHz/10%/0 card2:1730MHz/11%/0 card3:1730MHz/11%/0 DC:339W
2026-09-23T11:26:52+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:325W
2026-09-23T11:26:57+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:332W
2026-09-23T11:27:02+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:329W
2026-09-23T11:27:07+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:329W
2026-09-23T11:27:12+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:338W
2026-09-23T11:27:17+00:00 card0:1730MHz/11%/0 card1:1730MHz/11%/0 card2:1730MHz/11%/0 card3:1730MHz/11%/0 DC:337W
