2026-09-23T14:04:02+00:00 watchdog v2 start pid 3947073 guarding pid 3947052 (sclk guard 1; DC envelope guard: >= 1228 W once or >= 1200 W twice, from /root/night-20260919/fnsweep2-smc.log)
2026-09-23T14:04:02+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0
2026-09-23T14:04:07+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:313W
2026-09-23T14:04:12+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:296W
2026-09-23T14:04:17+00:00 card0:1730MHz/5%/0 card1:1730MHz/5%/0 card2:1730MHz/4%/0 card3:1730MHz/4%/0 DC:328W
2026-09-23T14:04:22+00:00 card0:1730MHz/4%/0 card1:1730MHz/4%/0 card2:1730MHz/4%/0 card3:1730MHz/5%/0 DC:366W
2026-09-23T14:04:27+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1730MHz/6%/0 card3:1000MHz/0%/0 DC:365W
2026-09-23T14:04:32+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:373W
2026-09-23T14:04:37+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:357W
2026-09-23T14:04:42+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:344W
2026-09-23T14:04:47+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:335W
2026-09-23T14:04:52+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:341W
2026-09-23T14:04:57+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:336W
2026-09-23T14:05:02+00:00 card0:1730MHz/17%/0 card1:1730MHz/17%/0 card2:1730MHz/18%/0 card3:1730MHz/98%/0 DC:335W
2026-09-23T14:05:07+00:00 card0:1730MHz/11%/0 card1:1730MHz/11%/0 card2:1730MHz/10%/0 card3:1730MHz/11%/0 DC:348W
2026-09-23T14:05:12+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:405W
2026-09-23T14:05:17+00:00 card0:1000MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/2%/0 card3:1000MHz/0%/0 DC:332W
2026-09-23T14:05:22+00:00 card0:1730MHz/100%/0 card1:1674MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:339W
2026-09-23T14:05:27+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:506W
2026-09-23T14:05:32+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:425W
2026-09-23T14:05:37+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:688W
2026-09-23T14:05:42+00:00 card0:1608MHz/99%/0 card1:1730MHz/99%/0 card2:1674MHz/99%/0 card3:1540MHz/99%/0 DC:414W
2026-09-23T14:05:47+00:00 card0:1730MHz/100%/0 card1:1608MHz/100%/0 card2:1608MHz/100%/0 card3:1445MHz/100%/0 DC:598W
2026-09-23T14:05:52+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:682W
2026-09-23T14:05:57+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:421W
2026-09-23T14:06:03+00:00 card0:1730MHz/100%/0 card1:1540MHz/100%/0 card2:1608MHz/100%/0 card3:1540MHz/100%/0 DC:684W
2026-09-23T14:06:08+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:424W
2026-09-23T14:06:13+00:00 card0:1336MHz/100%/0 card1:1730MHz/100%/0 card2:1540MHz/100%/0 card3:1730MHz/100%/0 DC:567W
2026-09-23T14:06:18+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:684W
2026-09-23T14:06:23+00:00 card0:1730MHz/100%/0 card1:1674MHz/100%/0 card2:1674MHz/100%/0 card3:1730MHz/100%/0 DC:428W
