2026-09-24T21:15:39+00:00 watchdog v2 start pid 134922 guarding pid 134361 (sclk guard 1; DC envelope guard: >= 1228 W once or >= 1200 W twice, from /root/night-20260919/gate-build-mx-both-smc.log)
2026-09-24T21:15:39+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0
2026-09-24T21:15:44+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:388W
2026-09-24T21:15:49+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:409W
2026-09-24T21:15:54+00:00 card0:1730MHz/8%/0 card1:1730MHz/9%/0 card2:1000MHz/0%/0 card3:1730MHz/1%/0 DC:413W
2026-09-24T21:15:59+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:409W
2026-09-24T21:16:04+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:419W
2026-09-24T21:16:09+00:00 card0:1000MHz/1%/0 card1:1000MHz/0%/0 card2:1000MHz/6%/0 card3:1000MHz/0%/0 DC:403W
2026-09-24T21:16:14+00:00 card0:1730MHz/72%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:415W
2026-09-24T21:16:19+00:00 card0:1000MHz/0%/0 card1:1730MHz/5%/0 card2:1730MHz/19%/0 card3:1730MHz/9%/0 DC:438W
2026-09-24T21:16:24+00:00 card0:1730MHz/27%/0 card1:1730MHz/4%/0 card2:1730MHz/12%/0 card3:1000MHz/23%/0 DC:413W
2026-09-24T21:16:30+00:00 card0:1000MHz/4%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1730MHz/0%/0 DC:453W
2026-09-24T21:16:35+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/3%/0 DC:433W
2026-09-24T21:16:40+00:00 card0:1000MHz/0%/0 card1:1730MHz/11%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:445W
2026-09-24T21:16:45+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:427W
2026-09-24T21:16:50+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:412W
2026-09-24T21:16:55+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:409W
2026-09-24T21:17:00+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1730MHz/2%/0 DC:408W
2026-09-24T21:17:05+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:414W
2026-09-24T21:17:10+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1730MHz/69%/0 card3:1000MHz/0%/0 DC:407W
2026-09-24T21:17:15+00:00 card0:1730MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/3%/0 card3:1000MHz/13%/0 DC:413W
2026-09-24T21:17:20+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:412W
2026-09-24T21:17:25+00:00 card0:1000MHz/2%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/1%/0 DC:409W
2026-09-24T21:17:30+00:00 card0:1000MHz/0%/0 card1:1730MHz/5%/0 card2:1000MHz/1%/0 card3:1000MHz/8%/0 DC:422W
2026-09-24T21:17:35+00:00 card0:1730MHz/0%/0 card1:1730MHz/15%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:430W
2026-09-24T21:17:40+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:395W
2026-09-24T21:17:45+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/10%/0 DC:390W
2026-09-24T21:17:50+00:00 card0:1000MHz/2%/0 card1:1000MHz/20%/0 card2:1000MHz/6%/0 card3:1000MHz/0%/0 DC:406W
2026-09-24T21:17:55+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/14%/0 card3:1730MHz/0%/0 DC:395W
2026-09-24T21:18:00+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:378W
