2026-09-24T01:55:09+00:00 watchdog v2 start pid 3030291 guarding pid 3030260 (sclk guard 1; DC envelope guard: >= 1228 W once or >= 1200 W twice, from /root/night-20260919/gate-v050-smc.log)
2026-09-24T01:55:09+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0
2026-09-24T01:55:14+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:312W
2026-09-24T01:55:19+00:00 card0:1000MHz/1%/0 card1:1000MHz/1%/0 card2:1730MHz/6%/0 card3:1000MHz/0%/0 DC:291W
2026-09-24T01:55:24+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:373W
2026-09-24T01:55:29+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:383W
2026-09-24T01:55:34+00:00 card0:1000MHz/0%/0 card1:1000MHz/2%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:398W
2026-09-24T01:55:39+00:00 card0:1000MHz/9%/0 card1:1730MHz/0%/0 card2:1000MHz/10%/0 card3:1730MHz/4%/0 DC:368W
2026-09-24T01:55:44+00:00 card0:1730MHz/30%/0 card1:1730MHz/4%/0 card2:1730MHz/5%/0 card3:1730MHz/44%/0 DC:374W
2026-09-24T01:55:49+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:418W
2026-09-24T01:55:54+00:00 card0:1000MHz/0%/0 card1:1000MHz/2%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:418W
2026-09-24T01:55:59+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:364W
2026-09-24T01:56:04+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1730MHz/3%/0 DC:361W
2026-09-24T01:56:09+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:362W
2026-09-24T01:56:14+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/6%/0 DC:358W
