2026-09-22T02:20:04+00:00 watchdog v2 start pid 2367064 guarding pid 2366986 (sclk guard 1; DC envelope guard: >= 1228 W once or >= 1200 W twice, from /root/night-20260919/round1-smc.log)
2026-09-22T02:20:04+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0
2026-09-22T02:20:09+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:328W
2026-09-22T02:20:14+00:00 card0:1000MHz/2%/0 card1:1730MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/3%/0 DC:297W
2026-09-22T02:20:19+00:00 card0:1730MHz/1%/0 card1:1730MHz/9%/0 card2:1730MHz/3%/0 card3:1000MHz/1%/0 DC:343W
2026-09-22T02:20:24+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:343W
2026-09-22T02:20:29+00:00 card0:1445MHz/100%/0 card1:1540MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:350W
2026-09-22T02:20:34+00:00 card0:1336MHz/100%/0 card1:1336MHz/100%/0 card2:1608MHz/100%/0 card3:1445MHz/100%/0 DC:764W
2026-09-22T02:20:39+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1730MHz/100%/0 card3:1336MHz/100%/0 DC:753W
2026-09-22T02:20:44+00:00 card0:1608MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:751W
2026-09-22T02:20:49+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:761W
2026-09-22T02:20:54+00:00 card0:1540MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:759W
2026-09-22T02:20:59+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1674MHz/100%/0 card3:1445MHz/100%/0 DC:744W
2026-09-22T02:21:04+00:00 card0:1445MHz/100%/0 card1:1540MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:760W
2026-09-22T02:21:09+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1608MHz/100%/0 card3:1445MHz/100%/0 DC:758W
2026-09-22T02:21:14+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:734W
2026-09-22T02:21:19+00:00 card0:1445MHz/100%/0 card1:1540MHz/100%/0 card2:1445MHz/100%/0 card3:1336MHz/100%/0 DC:758W
2026-09-22T02:21:24+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:755W
2026-09-22T02:21:29+00:00 card0:1445MHz/100%/0 card1:1445MHz/100%/0 card2:1336MHz/100%/0 card3:1674MHz/100%/0 DC:758W
2026-09-22T02:21:34+00:00 card0:1336MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:757W
2026-09-22T02:21:39+00:00 card0:1540MHz/100%/0 card1:1445MHz/100%/0 card2:1336MHz/100%/0 card3:1445MHz/100%/0 DC:725W
2026-09-22T02:21:44+00:00 card0:1336MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:757W
2026-09-22T02:21:49+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1730MHz/100%/0 DC:758W
2026-09-22T02:21:54+00:00 card0:1336MHz/100%/0 card1:1204MHz/100%/0 card2:1336MHz/100%/0 card3:1204MHz/100%/0 DC:720W
2026-09-22T02:21:59+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:756W
2026-09-22T02:22:04+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:756W
2026-09-22T02:22:09+00:00 card0:1336MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:756W
2026-09-22T02:22:14+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1336MHz/100%/0 DC:713W
2026-09-22T02:22:19+00:00 card0:1336MHz/100%/0 card1:1336MHz/100%/0 card2:1540MHz/100%/0 card3:1336MHz/100%/0 DC:769W
2026-09-22T02:22:24+00:00 card0:1445MHz/100%/0 card1:1445MHz/100%/0 card2:1336MHz/100%/0 card3:1445MHz/100%/0 DC:758W
2026-09-22T02:22:29+00:00 card0:1445MHz/100%/0 card1:1445MHz/100%/0 card2:1336MHz/100%/0 card3:1608MHz/100%/0 DC:759W
2026-09-22T02:22:34+00:00 card0:1336MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1540MHz/100%/0 DC:759W
2026-09-22T02:22:39+00:00 card0:1336MHz/100%/0 card1:1336MHz/100%/0 card2:1336MHz/100%/0 card3:1204MHz/100%/0 DC:743W
2026-09-22T02:22:44+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1336MHz/100%/0 card3:1608MHz/100%/0 DC:758W
2026-09-22T02:22:49+00:00 card0:1336MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1540MHz/100%/0 DC:758W
2026-09-22T02:22:54+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:760W
2026-09-22T02:22:59+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1674MHz/100%/0 card3:1445MHz/100%/0 DC:736W
2026-09-22T02:23:05+00:00 card0:1445MHz/100%/0 card1:1445MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:759W
2026-09-22T02:23:10+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:732W
2026-09-22T02:23:15+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:758W
2026-09-22T02:23:20+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:759W
2026-09-22T02:23:25+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1336MHz/100%/0 DC:758W
2026-09-22T02:23:30+00:00 card0:1336MHz/100%/0 card1:1204MHz/100%/0 card2:1445MHz/100%/0 card3:1608MHz/100%/0 DC:759W
2026-09-22T02:23:35+00:00 card0:1336MHz/100%/0 card1:1336MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:739W
2026-09-22T02:23:40+00:00 card0:1336MHz/100%/0 card1:1204MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:757W
2026-09-22T02:23:45+00:00 card0:1336MHz/100%/0 card1:1540MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:757W
2026-09-22T02:23:50+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:756W
2026-09-22T02:23:55+00:00 card0:1445MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1336MHz/100%/0 DC:715W
2026-09-22T02:24:00+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:756W
2026-09-22T02:24:05+00:00 card0:1608MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1336MHz/100%/0 DC:756W
2026-09-22T02:24:10+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1730MHz/100%/0 DC:768W
2026-09-22T02:24:15+00:00 card0:1336MHz/100%/0 card1:1445MHz/100%/0 card2:1336MHz/100%/0 card3:1608MHz/100%/0 DC:758W
2026-09-22T02:24:20+00:00 card0:1336MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:747W
2026-09-22T02:24:25+00:00 card0:1540MHz/100%/0 card1:1336MHz/100%/0 card2:1608MHz/100%/0 card3:1445MHz/100%/0 DC:743W
2026-09-22T02:24:30+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:757W
2026-09-22T02:24:35+00:00 card0:1336MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1336MHz/100%/0 DC:757W
2026-09-22T02:24:40+00:00 card0:1445MHz/100%/0 card1:1445MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:737W
2026-09-22T02:24:45+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:757W
2026-09-22T02:24:50+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1336MHz/100%/0 card3:1336MHz/100%/0 DC:755W
2026-09-22T02:24:55+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1336MHz/100%/0 card3:1445MHz/100%/0 DC:756W
2026-09-22T02:25:00+00:00 card0:1336MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1540MHz/100%/0 DC:755W
2026-09-22T02:25:05+00:00 card0:1540MHz/100%/0 card1:1336MHz/100%/0 card2:1336MHz/100%/0 card3:1204MHz/100%/0 DC:730W
2026-09-22T02:25:10+00:00 card0:1445MHz/100%/0 card1:1336MHz/100%/0 card2:1445MHz/100%/0 card3:1445MHz/100%/0 DC:759W
2026-09-22T02:25:15+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1336MHz/100%/0 card3:1204MHz/100%/0 DC:757W
