2026-09-20T11:15:49+00:00 watchdog v2 start pid 548300 guarding pid 548280 (sclk guard 1; DC envelope guard: >= 1228 W once or >= 1200 W twice, from /root/night-20260919/stall-smc.log)
2026-09-20T11:15:49+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0
2026-09-20T11:15:54+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:312W
2026-09-20T11:15:59+00:00 card0:1730MHz/32%/0 card1:1000MHz/18%/0 card2:1000MHz/2%/0 card3:1000MHz/0%/0 DC:295W
2026-09-20T11:16:04+00:00 card0:1000MHz/0%/0 card1:1730MHz/5%/0 card2:1730MHz/3%/0 card3:1000MHz/6%/0 DC:327W
2026-09-20T11:16:09+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1445MHz/100%/0 card3:1336MHz/100%/0 DC:344W
2026-09-20T11:16:14+00:00 card0:1204MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:691W
2026-09-20T11:16:19+00:00 card0:1540MHz/100%/0 card1:1336MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:684W
2026-09-20T11:16:24+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:629W
2026-09-20T11:16:29+00:00 card0:1540MHz/99%/0 card1:1336MHz/100%/0 card2:1336MHz/100%/0 card3:1730MHz/100%/0 DC:690W
2026-09-20T11:16:34+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1336MHz/100%/0 card3:1204MHz/100%/0 DC:687W
2026-09-20T11:16:39+00:00 card0:1730MHz/100%/0 card1:1204MHz/100%/0 card2:1204MHz/100%/0 card3:1204MHz/100%/0 DC:615W
2026-09-20T11:16:44+00:00 card0:1204MHz/100%/0 card1:1445MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:695W
2026-09-20T11:16:49+00:00 card0:1204MHz/100%/0 card1:1204MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:694W
2026-09-20T11:16:54+00:00 card0:1336MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:699W
2026-09-20T11:16:59+00:00 card0:1336MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:707W
2026-09-20T11:17:04+00:00 card0:1674MHz/99%/0 card1:1608MHz/99%/0 card2:1674MHz/94%/0 card3:1674MHz/99%/0 DC:714W
2026-09-20T11:17:09+00:00 card0:1540MHz/99%/0 card1:1445MHz/100%/0 card2:1608MHz/93%/0 card3:1608MHz/99%/0 DC:649W
2026-09-20T11:17:14+00:00 card0:1540MHz/99%/0 card1:1540MHz/99%/0 card2:1540MHz/99%/0 card3:1608MHz/89%/0 DC:773W
