2026-09-19T17:57:46+00:00 watchdog v2 start pid 477222 guarding ^/bin/bash /root/night-20260919/serve[.]sh (sclk guard 1; DC envelope guard: >= 1228 W once or >= 1200 W twice, from /root/night-20260919/step2b-cram-smc.log)
2026-09-19T17:57:46+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0
2026-09-19T17:57:52+00:00 card0:1730MHz/0%/0 card1:1730MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/0%/0 DC:298W
2026-09-19T17:57:57+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1730MHz/0%/0 card3:1730MHz/17%/0 DC:285W
2026-09-19T17:58:02+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:351W
2026-09-19T17:58:07+00:00 card0:1674MHz/100%/0 card1:1540MHz/100%/0 card2:1608MHz/100%/0 card3:1608MHz/100%/0 DC:332W
2026-09-19T17:58:12+00:00 card0:1730MHz/100%/0 card1:1540MHz/100%/0 card2:1608MHz/100%/0 card3:1608MHz/100%/0 DC:1080W
2026-09-19T17:58:17+00:00 card0:1674MHz/100%/0 card1:1540MHz/100%/0 card2:1540MHz/100%/0 card3:1730MHz/100%/0 DC:1080W
2026-09-19T17:58:22+00:00 card0:1540MHz/100%/0 card1:1608MHz/100%/0 card2:1608MHz/100%/0 card3:1674MHz/100%/0 DC:882W
2026-09-19T17:58:27+00:00 card0:1608MHz/100%/0 card1:1445MHz/100%/0 card2:1608MHz/100%/0 card3:1730MHz/100%/0 DC:1108W
2026-09-19T17:58:32+00:00 card0:1730MHz/100%/0 card1:1608MHz/100%/0 card2:1608MHz/100%/0 card3:1608MHz/100%/0 DC:1050W
2026-09-19T17:58:37+00:00 card0:1608MHz/100%/0 card1:1674MHz/100%/0 card2:1674MHz/100%/0 card3:1608MHz/100%/0 DC:1100W
2026-09-19T17:58:42+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1608MHz/100%/0 card3:1608MHz/100%/0 DC:1089W
2026-09-19T17:58:47+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1608MHz/100%/0 card3:1608MHz/100%/0 DC:1123W
2026-09-19T17:58:52+00:00 card0:1540MHz/100%/0 card1:1540MHz/100%/0 card2:1540MHz/100%/0 card3:1730MHz/100%/0 DC:1096W
2026-09-19T17:58:57+00:00 card0:1608MHz/100%/0 card1:1540MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:980W
2026-09-19T17:59:02+00:00 card0:1608MHz/100%/0 card1:1674MHz/100%/0 card2:1540MHz/100%/0 card3:1540MHz/100%/0 DC:1118W
2026-09-19T17:59:07+00:00 card0:1540MHz/100%/0 card1:1608MHz/100%/0 card2:1674MHz/100%/0 card3:1674MHz/100%/0 DC:1093W
2026-09-19T17:59:12+00:00 card0:1730MHz/100%/0 card1:1608MHz/100%/0 card2:1608MHz/100%/0 card3:1608MHz/100%/0 DC:901W
2026-09-19T17:59:17+00:00 card0:1608MHz/100%/0 card1:1730MHz/100%/0 card2:1608MHz/100%/0 card3:1608MHz/100%/0 DC:1050W
2026-09-19T17:59:22+00:00 card0:1608MHz/100%/0 card1:1608MHz/100%/0 card2:1674MHz/100%/0 card3:1608MHz/100%/0 DC:938W
2026-09-19T17:59:27+00:00 card0:1674MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1730MHz/100%/0 DC:995W
2026-09-19T17:59:32+00:00 card0:1608MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1730MHz/100%/0 DC:1010W
2026-09-19T17:59:37+00:00 card0:1540MHz/100%/0 card1:1540MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:1009W
2026-09-19T17:59:43+00:00 card0:1540MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1674MHz/100%/0 DC:1008W
2026-09-19T17:59:48+00:00 card0:1608MHz/100%/0 card1:1674MHz/100%/0 card2:1730MHz/100%/0 card3:1608MHz/100%/0 DC:1087W
2026-09-19T17:59:53+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1674MHz/99%/0 card3:1730MHz/100%/0 DC:1019W
2026-09-19T17:59:58+00:00 card0:1540MHz/100%/0 card1:1608MHz/100%/0 card2:1730MHz/100%/0 card3:1608MHz/100%/0 DC:1089W
2026-09-19T18:00:03+00:00 card0:1730MHz/100%/0 card1:1445MHz/100%/0 card2:1540MHz/100%/0 card3:1730MHz/100%/0 DC:966W
2026-09-19T18:00:08+00:00 card0:1674MHz/100%/0 card1:1540MHz/100%/0 card2:1608MHz/100%/0 card3:1608MHz/100%/0 DC:1087W
2026-09-19T18:00:13+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1608MHz/100%/0 DC:976W
2026-09-19T18:00:18+00:00 card0:1730MHz/100%/0 card1:1540MHz/100%/0 card2:1608MHz/100%/0 card3:1608MHz/100%/0 DC:1088W
2026-09-19T18:00:23+00:00 card0:1540MHz/100%/0 card1:1608MHz/100%/0 card2:1730MHz/100%/0 card3:1608MHz/100%/0 DC:976W
2026-09-19T18:00:28+00:00 card0:1000MHz/0%/0 card1:1730MHz/0%/0 card2:1000MHz/2%/0 card3:1730MHz/0%/0 DC:1086W
2026-09-19T18:00:33+00:00 card0:1608MHz/100%/0 card1:1674MHz/100%/0 card2:1540MHz/100%/0 card3:1730MHz/100%/0 DC:857W
2026-09-19T18:00:38+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1674MHz/100%/0 card3:1730MHz/100%/0 DC:835W
2026-09-19T18:00:43+00:00 card0:1000MHz/0%/0 card1:1000MHz/0%/0 card2:1000MHz/0%/0 card3:1000MHz/0%/0 DC:1088W
2026-09-19T18:00:48+00:00 card0:1608MHz/100%/0 card1:1674MHz/100%/0 card2:1730MHz/100%/0 card3:1674MHz/100%/0 DC:945W
2026-09-19T18:00:53+00:00 card0:1540MHz/100%/0 card1:1540MHz/100%/0 card2:1730MHz/100%/0 card3:1674MHz/100%/0 DC:851W
2026-09-19T18:00:58+00:00 card0:1540MHz/100%/0 card1:1445MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:1086W
2026-09-19T18:01:03+00:00 card0:1608MHz/100%/0 card1:1540MHz/100%/0 card2:1608MHz/100%/0 card3:1608MHz/100%/0 DC:916W
2026-09-19T18:01:08+00:00 card0:1540MHz/100%/0 card1:1540MHz/100%/0 card2:1608MHz/100%/0 card3:1730MHz/100%/0 DC:705W
2026-09-19T18:01:13+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:929W
2026-09-19T18:01:18+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/100%/0 DC:940W
2026-09-19T18:01:23+00:00 card0:1000MHz/10%/0 card1:1730MHz/25%/0 card2:1730MHz/98%/0 card3:1730MHz/99%/0 DC:940W
2026-09-19T18:01:28+00:00 card0:1730MHz/82%/0 card1:1730MHz/92%/0 card2:1730MHz/66%/0 card3:1730MHz/74%/0 DC:950W
2026-09-19T18:01:34+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/99%/0 DC:954W
2026-09-19T18:01:39+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:0W
2026-09-19T18:01:44+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1000MHz/37%/1 card3:1730MHz/2%/0 DC:956W
2026-09-19T18:01:49+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1000MHz/43%/1 DC:952W
2026-09-19T18:01:54+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0
2026-09-19T18:01:59+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:949W
2026-09-19T18:02:04+00:00 card0:1730MHz/100%/0 card1:1000MHz/100%/1 card2:1730MHz/2%/0 card3:1730MHz/76%/0 DC:947W
2026-09-19T18:02:09+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:954W
2026-09-19T18:02:14+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:954W
2026-09-19T18:02:19+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:951W
2026-09-19T18:02:24+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:947W
2026-09-19T18:02:29+00:00 card0:1000MHz/48%/1 card1:1730MHz/1%/0 card2:1730MHz/91%/0 card3:1730MHz/99%/0 DC:958W
2026-09-19T18:02:34+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:954W
2026-09-19T18:02:39+00:00 card0:1730MHz/91%/0 card1:1730MHz/75%/0 card2:1730MHz/72%/0 card3:1730MHz/81%/0 DC:951W
2026-09-19T18:02:44+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/100%/0 DC:950W
2026-09-19T18:02:49+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:952W
2026-09-19T18:02:54+00:00 card0:1730MHz/99%/0 card1:1730MHz/99%/0 card2:1730MHz/99%/0 card3:1730MHz/100%/0 DC:955W
2026-09-19T18:02:59+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:952W
2026-09-19T18:03:04+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:956W
2026-09-19T18:03:09+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:927W
2026-09-19T18:03:14+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:949W
2026-09-19T18:03:19+00:00 card0:1000MHz/13%/0 card1:1730MHz/50%/0 card2:1730MHz/97%/0 card3:1730MHz/99%/0 DC:946W
2026-09-19T18:03:25+00:00 card0:1730MHz/100%/0 card1:1730MHz/100%/0 card2:1730MHz/100%/0 card3:1730MHz/100%/0 DC:950W
